axis,sigma,MinC,MaxC,T_seconds
axis1,2.162104481958948,4.324208963917896,6.486313445876844,20.0
axis2,6.879731154508296,13.759462309016593,20.63919346352489,20.0
axis3,5.111851167526421,10.223702335052842,15.335553502579263,20.0
axis4,1.5748610151925515,3.149722030385103,4.7245830455776545,20.0
axis5,2.1001717559875543,4.200343511975109,6.300515267962663,20.0
axis6,1.815453305984058,3.630906611968116,5.446359917952174,20.0
axis7,2.1667592029788394,4.333518405957679,6.500277608936518,20.0
axis8,0.4230680564660255,0.846136112932051,1.2692041693980767,20.0
