axis,level,start_time,end_time,duration_sec,peak_residual
axis1,ALERT,68286.89959510758,73641.42902287265,5354.529427765068,4.649760859637626
axis1,ALERT,13271.604790150246,78780.40091433022,65508.79612417998,4.634452311517567
axis1,ALERT,28441.14590400682,69022.57389746764,40581.42799346082,4.795733267775035
axis1,ALERT,49865.82249975131,51275.68610476777,1409.8636050164569,4.524827342357581
axis1,ALERT,56948.090909423016,74296.40160434312,17348.310694920103,5.607649693945615
axis1,ALERT,19742.05739171316,30344.76343268204,10602.706040968882,5.075331968893405
axis1,ALERT,26036.000717207837,44203.08923835049,18167.088521142654,6.973869669419573
axis1,ALERT,27156.378349224426,29336.045886384392,2179.6675371599667,4.972595212624664
axis1,ALERT,36617.33128929452,62836.36575253362,26219.0344632391,4.860282845702937
axis1,ALERT,26499.63530488647,27078.449029545496,578.8137246590268,6.090014676777553
axis1,ALERT,49153.19753014081,53445.53155639744,4292.334026256634,5.757204454970844
axis1,ALERT,590.4677201753439,24689.05578960389,24098.588069428548,5.485477930575786
axis1,ALERT,31297.437279068752,61871.004521313735,30573.567242244982,6.488532081156531
axis1,ALERT,34313.36897957883,47304.54566139863,12991.176681819801,4.5750509698109445
axis1,ALERT,37657.41034342013,46485.73295715949,8828.322613739358,6.122415624789217
axis1,ALERT,26261.568006244637,58612.52098309515,32350.952976850513,4.9680784362240775
axis1,ALERT,4415.300641938178,63066.812067637016,58651.51142569884,5.21324967426391
axis1,ALERT,62225.6208855726,63688.90903140508,1463.2881458324773,4.433385759806897
axis1,ALERT,46332.47847968373,49340.72595749098,3008.24747780725,5.22075442863506
axis1,ALERT,4602.838378557892,61121.32917753862,56518.490798980725,4.738734642893641
axis1,ALERT,39637.34284555095,70994.58351319788,31357.240667646933,4.644117087800911
axis1,ALERT,43715.90747977588,56689.99495025148,12974.087470475599,5.683782042326127
axis1,ALERT,24138.37552874953,48545.4658552274,24407.090326477868,4.666664508311262
axis1,ALERT,32768.571849411135,52012.87755334209,19244.305703930957,4.649271521629691
axis1,ALERT,45082.12173066174,50688.96762496924,5606.845894307502,5.579287720895543
axis1,ALERT,12912.036894452373,27179.19071741229,14267.153822959917,7.041886283586904
axis2,ALERT,48661.97484703371,49820.99022605717,1159.0153790234617,16.385015141320913
axis2,ALERT,-10511.150447282693,13762.76876004285,24273.919207325544,17.51494805506207
axis2,ALERT,17869.774382155152,32845.47976383533,14975.705381680174,18.660285311007815
axis2,ALERT,71929.19205995381,76862.12845507482,4932.936395121011,15.600472026786969
axis2,ALERT,69351.82985625055,84434.36764854501,15082.53779229446,17.66939338980061
axis2,ALERT,24926.715308394854,35002.393512552124,10075.67820415727,15.900605157402694
axis2,ALERT,-7373.737668219743,31837.98619526557,39211.72386348531,18.51286527145254
axis2,ALERT,28418.385952164263,81564.64347523576,53146.2575230715,21.710973458654184
axis2,ALERT,29634.43402777556,73908.19775112758,44273.76372335202,16.783883516898978
axis2,ALERT,18179.708405883917,43482.71056914643,25303.002163262514,16.886728698028687
axis2,ALERT,36472.60211218238,75918.16312591138,39445.561013729,17.22663430617098
axis2,ALERT,27880.4324878527,38754.508456722855,10874.075968870155,14.445988532936767
axis2,ALERT,8495.23390993923,33070.7379796262,24575.504069686973,19.200883062355107
axis2,ALERT,-14770.549336138747,33184.20413402455,47954.7534701633,19.353879855068826
axis2,ALERT,61926.82036295919,72338.41720091147,10411.596837952282,16.668119795849766
axis2,ALERT,53590.548821905766,65733.06607796278,12142.517256057014,19.594029142180254
axis2,ALERT,841.2314000778933,21546.08781589381,20704.856415815917,19.586425171040915
axis2,ALERT,34145.86938099946,77866.18122991119,43720.31184891173,16.224602338254208
axis2,ALERT,14090.982738272778,19388.202824848013,5297.220086575235,17.473311228750617
axis2,ALERT,19177.520754148667,40090.35546652901,20912.83471238034,17.343206537493522
axis2,ALERT,-8250.12612611452,72338.69721300577,80588.82333912028,14.1128763238459
axis2,ALERT,30454.23321578891,59198.94490883002,28744.711693041107,14.245919297157487
axis2,ALERT,11329.75640112734,50021.29689538345,38691.54049425611,18.433504583262735
axis3,ALERT,35672.71479580846,41405.71957555605,5733.004779747593,10.539563487540459
axis3,ALERT,48964.7625938321,57362.41185736311,8397.649263531013,14.228769100719608
axis3,ALERT,34017.6490309159,56304.51823229623,22286.86920138033,14.349670372818295
axis3,ALERT,60851.75709224535,73865.07045432544,13013.313362080087,13.04729973268363
axis3,ALERT,42724.340222412095,61952.254779006056,19227.91455659396,13.171982988099034
axis3,ALERT,17983.251182808854,35364.22338183586,17380.972199027005,13.343846628845395
axis3,ALERT,45976.60560579356,47680.91023640089,1704.3046306073302,10.892137611362323
axis3,ALERT,24807.78350680805,61777.67210061211,36969.88859380406,14.293652104069675
axis3,ALERT,40215.29229950296,68840.11827961962,28624.825980116664,14.056069576631762
axis3,ALERT,48873.33495276032,65277.91767960388,16404.58272684356,13.524810901451158
axis3,ALERT,41466.193571496544,42667.15378001519,1200.9602085186489,13.719720884492956
axis3,ALERT,18428.34033873152,46360.58299965405,27932.24266092253,15.201998544738446
axis3,ALERT,32972.32546587176,68895.51175880664,35923.18629293487,15.793029613756655
axis3,ALERT,41135.773891899866,46230.55415574782,5094.780263847955,12.052370002447297
axis3,ALERT,35269.28871036165,50535.47738450392,15266.188674142271,14.788822684979959
axis3,ALERT,18018.611107856123,43085.72950470466,25067.118396848535,14.10315772487163
axis3,ALERT,53630.4098501152,63577.52046246019,9947.110612344994,14.198700738699516
axis3,ALERT,14421.241692969314,41394.72299810642,26973.48130513711,14.829530320544434
axis3,ALERT,62507.47202699912,65315.02128650219,2807.5492595030664,11.832216650985757
axis3,ALERT,66902.41188561081,99987.94465109977,33085.532765488955,12.992951073552277
axis4,ALERT,40274.13753154108,66733.54043869184,26459.40290715076,3.68797328182042
axis4,ALERT,26893.5393518137,65517.36632558304,38623.82697376934,3.936055418728832
axis4,ALERT,56938.45573894107,66620.61338518573,9682.157646244661,3.1686045946341386
axis4,ALERT,42955.970311342826,47727.15700859464,4771.186697251811,3.3869266405371596
axis4,ALERT,40319.33158250885,42226.48969512344,1907.1581126145902,3.92140163265146
axis4,ALERT,10667.27401555135,66224.82436029096,55557.55034473962,3.783379384863184
axis4,ALERT,58436.53529503399,62525.35245323709,4088.817158203099,4.195439914583295
axis4,ALERT,15114.905624700248,47072.14256673723,31957.236942036983,4.718574138669409
axis4,ALERT,27679.28534813589,37894.36578220691,10215.080434071016,4.635135956117768
axis4,ALERT,42767.78330139862,46549.20981433914,3781.426512940525,3.598081056369986
axis4,ALERT,26247.800785600462,52063.7853328177,25815.98454721724,4.03172722583606
axis4,ALERT,25273.12709150258,31108.91011784488,5835.783026342298,4.464311696756321
axis4,ALERT,33107.075589411426,54202.14891364401,21095.07332423258,5.382132318398758
axis4,ALERT,18548.3251849135,61647.05437477467,43098.72918986117,3.5873923315956473
axis4,ALERT,26021.87060895641,27360.524128574456,1338.6535196180448,3.9292505861435765
axis4,ALERT,30827.405525991824,85584.0256863217,54756.62016032987,4.536291846989158
axis4,ALERT,24549.78428642876,31733.248657795088,7183.464371366328,3.499898088905041
axis4,ALERT,13015.935897127816,27956.834434706918,14940.898537579102,3.2580386432823683
axis4,ALERT,174.93429660921538,15744.889687576844,15569.955390967629,3.921469338895555
axis4,ALERT,16783.01727701173,51357.377827687786,34574.36055067605,4.415367567485702
axis4,ALERT,-264.9033329898666,67083.01111634563,67347.9144493355,3.43087633630254
axis4,ALERT,3556.607070150334,35225.21568416862,31668.60861401829,4.198433855735489
axis5,ALERT,25748.651407781,44684.96651925241,18936.315111471413,5.950892795472031
axis5,ALERT,48519.7033135588,74973.02312266637,26453.319809107576,5.558812717851796
axis5,ALERT,44240.88518612799,58612.0047142127,14371.11952808471,4.602977142954593
axis5,ALERT,38554.35710799793,69405.35620367568,30850.999095677747,5.3281584075571224
axis5,ALERT,19147.20305162257,60226.94912694118,41079.74607531861,4.345337896137619
axis5,ALERT,21428.87566251041,45740.791415815,24311.91575330459,6.12548740913128
axis5,ALERT,35380.507088721235,36029.54451037011,649.0374216488781,5.110733256614209
axis5,ALERT,24682.681608634,28344.56975844594,3661.888149811941,5.21987767235847
axis5,ALERT,41102.63309555043,70203.64775582177,29101.014660271343,4.584243327095244
axis5,ALERT,13434.32994640806,71218.34556511407,57784.015618706006,5.161774746478636
axis5,ALERT,60562.66590378495,67266.71060811044,6704.04470432549,4.882088758747322
axis5,ALERT,-8812.846335126073,12065.395770196385,20878.242105322457,5.242185947441915
axis5,ALERT,33598.26012876776,44342.54038226527,10744.280253497513,5.3149148432568225
axis5,ALERT,47676.800109831376,58799.78116429514,11122.981054463766,4.728704485428716
axis5,ALERT,4112.9913241110335,79539.66357630139,75426.67225219036,4.575327267137626
axis5,ALERT,11512.20504557198,46835.97958971715,35323.77454414517,4.45034496317379
axis5,ALERT,34987.36311099247,55128.82085149819,20141.45774050572,4.731479825985755
axis5,ALERT,36856.32421593599,67729.7716819775,30873.447466041507,4.983008991792577
axis5,ALERT,-4256.949245947842,6742.27314887075,10999.222394818593,4.853575603968321
axis5,ALERT,48681.55870632064,51262.51711120012,2580.9584048794786,4.427181838901769
axis5,ALERT,13306.014253153222,26611.55792094536,13305.543667792139,5.184732829692613
axis6,ALERT,17615.408328471243,34281.709590455765,16666.30126198452,4.439259090376811
axis6,ALERT,46996.6177129957,76138.74239351093,29142.124680515226,4.280237042060246
axis6,ALERT,35411.119340150195,41027.75700626429,5616.637666114097,4.10668073577596
